TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	WORD_NEXT1_LEX	WORD_NEXT1_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
NP	*t*	-NONE-	WHNP	that	WDT	NP	valley	NN	TO	to	NO	is	VBZ	surrounded	VBN	shift	''	reduce_unary	1	-9.294198074178478
VBZ	be	 	NP	*t*	-NONE-	WHNP	that	WDT	NP	valley	NO	surrounded	VBN	by	IN	shift	''	shift	1	-9.294198074178478
VBN	surround	 	VBZ	be	 	NP	*t*	-NONE-	WHNP	that	NO	by	IN	moors	NNS	shift	''	shift	1	-9.294198074178478
IN	by	 	VBN	surround	 	VBZ	be	 	NP	*t*	NO	moors	NNS	as	RB	shift	''	shift	1	-9.294198074178478
NNS	moor	 	IN	by	 	VBN	surround	 	VBZ	is	NO	as	RB	high	JJ	reduce_unary	NP	shift	1	-9.294198074178478
NP	moor	NNS	IN	by	 	VBN	surround	 	VBZ	is	NO	as	RB	high	JJ	shift	''	reduce_unary	1	-9.294198074178478
RB	as	 	NP	moor	NNS	IN	by	 	VBN	surrounded	NO	high	JJ	as	IN	shift	''	shift	1	-9.294198074178478
JJ	high	 	RB	as	 	NP	moor	NNS	IN	by	NO	as	IN	mountains	NNS	shift	''	shift	1	-9.294198074178478
IN	as	 	JJ	high	 	RB	as	 	NP	moors	NO	mountains	NNS	.	.	shift	''	shift	1	-9.294198074178478
NNS	mountain	 	IN	as	 	JJ	high	 	RB	as	NO	.	.	noword	NOPOS	reduce_unary	NP	shift	1	-9.294198074178478
NP	mountain	NNS	IN	as	 	JJ	high	 	RB	as	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	as	IN	IN	as	 	JJ	high	 	RB	as	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	as	IN	JJ	high	 	RB	as	 	NP	moors	NO	.	.	noword	NOPOS	reduce_unary	ADJP_BAR	reduce_binary	1	-9.294198074178478
ADJP_BAR	high	JJ	JJ	high	 	RB	as	 	NP	moors	NO	.	.	noword	NOPOS	reduce_binary	ADJP_BAR	reduce_unary	1	-9.294198074178478
ADJP_BAR	high	JJ	RB	as	 	NP	moor	NNS	IN	by	NO	.	.	noword	NOPOS	reduce_binary	ADJP	reduce_binary	1	-9.294198074178478
ADJP	high	JJ	NP	moor	NNS	IN	by	 	VBN	surrounded	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	moor	NNS	NP	moor	NNS	IN	by	 	VBN	surrounded	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	moor	NNS	IN	by	 	VBN	surround	 	VBZ	is	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	by	IN	IN	by	 	VBN	surround	 	VBZ	is	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	by	IN	VBN	surround	 	VBZ	be	 	NP	*t*	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	surround	VBN	VBN	surround	 	VBZ	be	 	NP	*t*	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	surround	VBN	VBZ	be	 	NP	*t*	-NONE-	WHNP	that	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	surround	VBN	VBZ	be	 	NP	*t*	-NONE-	WHNP	that	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	surround	VBN	NP	*t*	-NONE-	WHNP	that	WDT	NP	valley	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	surround	VBN	NP	*t*	-NONE-	WHNP	that	WDT	NP	valley	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	surround	VBN	WHNP	that	WDT	NP	valley	NN	TO	to	NO	.	.	noword	NOPOS	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	WHNP	that	WDT	NP	valley	NN	TO	to	NO	.	.	noword	NOPOS	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	NP	valley	NN	TO	to	 	VB	come	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	valley	NN	NP	valley	NN	TO	to	 	VB	come	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	valley	NN	TO	to	 	VB	come	 	MD	would	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	to	TO	TO	to	 	VB	come	 	MD	would	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	to	TO	VB	come	 	MD	would	 	NP	you	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VB	VB	come	 	MD	would	 	NP	you	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	come	VB	MD	would	 	NP	you	PRP	,	,	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	come	VB	MD	would	 	NP	you	PRP	,	,	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	come	VB	NP	you	PRP	,	,	 	SBAR	if	NO	.	.	noword	NOPOS	shift	''	reduce_binary	1	-9.294198074178478
.	.	 	VP	come	VB	NP	you	PRP	,	,	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	come	VB	VP	come	VB	NP	you	PRP	,	,	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	come	VB	NP	you	PRP	,	,	 	SBAR	if	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VB	,	,	 	SBAR	if	IN	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	come	VB	SBAR	if	IN	NOPOS	noword	 		 	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	come	VB	NOPOS	noword	 		 	 		 	NO	.	.	noword	NOPOS	reduce_unary	ROOT	reduce_binary	1	-9.294198074178478
NOPOS	noword	 		 	 		 	 		 	NO	it	PRP	is	VBZ	shift	''		6	-8.398318339564453
PRP	it	 	NOPOS	noword	 		 	 		 	NO	is	VBZ	in	IN	reduce_unary	NP	shift	1	-9.294198074178478
NP	it	PRP	NOPOS	noword	 		 	 		 	NO	is	VBZ	in	IN	shift	''	reduce_unary	1	-9.294198074178478
VBZ	be	 	NP	it	PRP	NOPOS	noword	 		 	NO	in	IN	this	DT	shift	''	shift	1	-9.294198074178478
IN	in	 	VBZ	be	 	NP	it	PRP	NOPOS	noword	NO	this	DT	valley	NN	shift	''	shift	1	-9.294198074178478
DT	this	 	IN	in	 	VBZ	be	 	NP	it	NO	valley	NN	where	WRB	shift	''	shift	1	-9.294198074178478
NN	valley	 	DT	this	 	IN	in	 	VBZ	is	NO	where	WRB	you	PRP	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	valley	NN	DT	this	 	IN	in	 	VBZ	is	NO	where	WRB	you	PRP	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	valley	NN	IN	in	 	VBZ	be	 	NP	it	NO	where	WRB	you	PRP	shift	''	reduce_binary	1	-9.294198074178478
WRB	where	 	NP	valley	NN	IN	in	 	VBZ	is	NO	you	PRP	would	MD	reduce_unary	WHADVP	shift	1	-9.294198074178478
WHADVP	where	WRB	NP	valley	NN	IN	in	 	VBZ	is	YES	you	PRP	would	MD	shift	''	reduce_unary	1	-9.294198074178478
PRP	you	 	WHADVP	where	WRB	NP	valley	NN	IN	in	YES	would	MD	find	VB	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	WHADVP	where	WRB	NP	valley	NN	IN	in	YES	would	MD	find	VB	shift	''	reduce_unary	1	-9.294198074178478
MD	would	 	NP	you	PRP	WHADVP	where	WRB	NP	valley	YES	find	VB	the	DT	shift	''	shift	1	-9.294198074178478
VB	find	 	MD	would	 	NP	you	PRP	WHADVP	where	YES	the	DT	city	NN	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 	VB	find	 	MD	would	 	NP	you	NO	the	DT	city	NN	reduce_unary	ADVP	postulate_gap	1	-9.294198074178478
ADVP	 	 	VB	find	 	MD	would	 	NP	you	NO	the	DT	city	NN	shift	''	reduce_unary	1	-9.294198074178478
DT	the	 	ADVP	 	 	VB	find	 	MD	would	NO	city	NN	of	IN	shift	''	shift	1	-9.294198074178478
NN	city	 	DT	the	 	ADVP	 	 	VB	find	NO	of	IN	bradford	NNP	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	city	NN	DT	the	 	ADVP	 	 	VB	find	NO	of	IN	bradford	NNP	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	city	NN	ADVP	 	 	VB	find	 	MD	would	NO	of	IN	bradford	NNP	shift	''	reduce_binary	1	-9.294198074178478
IN	of	 	NP	city	NN	ADVP	 	 	VB	find	NO	bradford	NNP	,	,	shift	''	shift	1	-9.294198074178478
NNP	bradford	 	IN	of	 	NP	city	NN	ADVP	 	NO	,	,	where	WRB	reduce_unary	NP	shift	1	-9.294198074178478
NP	bradford	NNP	IN	of	 	NP	city	NN	ADVP	 	NO	,	,	where	WRB	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	of	IN	IN	of	 	NP	city	NN	ADVP	 	NO	,	,	where	WRB	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	NP	city	NN	ADVP	 	 	VB	find	NO	,	,	where	WRB	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	city	NN	NP	city	NN	ADVP	 	 	VB	find	NO	,	,	where	WRB	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	city	NN	ADVP	 	 	VB	find	 	MD	would	NO	,	,	where	WRB	shift	''	reduce_binary	1	-9.294198074178478
,	,	 	NP	city	NN	ADVP	 	 	VB	find	NO	where	WRB	once	RB	shift	''	shift	1	-9.294198074178478
WRB	where	 	,	,	 	NP	city	NN	ADVP	 	NO	once	RB	a	DT	reduce_unary	WHADVP	shift	1	-9.294198074178478
WHADVP	where	WRB	,	,	 	NP	city	NN	ADVP	 	YES	once	RB	a	DT	shift	''	reduce_unary	1	-9.294198074178478
RB	once	 	WHADVP	where	WRB	,	,	 	NP	city	YES	a	DT	thousand	CD	reduce_unary	ADVP	shift	1	-9.294198074178478
ADVP	once	RB	WHADVP	where	WRB	,	,	 	NP	city	YES	a	DT	thousand	CD	shift	''	reduce_unary	1	-9.294198074178478
DT	a	 	ADVP	once	RB	WHADVP	where	WRB	,	,	YES	thousand	CD	spinning	JJ	shift	''	shift	1	-9.294198074178478
CD	thousand	 	DT	a	 	ADVP	once	RB	WHADVP	where	YES	spinning	JJ	jennies	NNS	shift	''	shift	1	-9.294198074178478
JJ	spinning	 	CD	thousand	 	DT	a	 	ADVP	once	YES	jennies	NNS	that	WDT	shift	''	shift	1	-9.294198074178478
NNS	jenny	 	JJ	spinning	 	CD	thousand	 	DT	a	YES	that	WDT	hummed	VBD	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	jenny	NNS	JJ	spinning	 	CD	thousand	 	DT	a	YES	that	WDT	hummed	VBD	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	jenny	NNS	CD	thousand	 	DT	a	 	ADVP	once	YES	that	WDT	hummed	VBD	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	jenny	NNS	DT	a	 	ADVP	once	RB	WHADVP	where	YES	that	WDT	hummed	VBD	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	jenny	NNS	ADVP	once	RB	WHADVP	where	WRB	,	,	YES	that	WDT	hummed	VBD	shift	''	reduce_binary	1	-9.294198074178478
WDT	that	 	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	YES	hummed	VBD	and	CC	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	that	WDT	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	YES	hummed	VBD	and	CC	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 	WHNP	that	WDT	NP	jenny	NNS	ADVP	once	YES	hummed	VBD	and	CC	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	WHNP	that	WDT	NP	jenny	NNS	ADVP	once	YES	hummed	VBD	and	CC	shift	''	reduce_unary	1	-9.294198074178478
VBD	hum	 	NP	*t*	-NONE-	WHNP	that	WDT	NP	jennies	YES	and	CC	clattered	VBD	reduce_unary	VP	shift	1	-9.294198074178478
VP	hum	VBD	NP	*t*	-NONE-	WHNP	that	WDT	NP	jennies	YES	and	CC	clattered	VBD	shift	''	reduce_unary	1	-9.294198074178478
CC	and	 	VP	hum	VBD	NP	*t*	-NONE-	WHNP	that	YES	clattered	VBD	spun	VBD	shift	''	shift	1	-9.294198074178478
VBD	clatter	 	CC	and	 	VP	hum	VBD	NP	*t*	YES	spun	VBD	wool	NN	reduce_unary	VP	shift	1	-9.294198074178478
VP	clatter	VBD	CC	and	 	VP	hum	VBD	NP	*t*	YES	spun	VBD	wool	NN	reduce_unary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	clatter	VBD	CC	and	 	VP	hum	VBD	NP	*t*	YES	spun	VBD	wool	NN	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	clatter	VBD	VP	hum	VBD	NP	*t*	-NONE-	WHNP	that	YES	spun	VBD	wool	NN	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	clatter	VBD	NP	*t*	-NONE-	WHNP	that	WDT	NP	jennies	YES	spun	VBD	wool	NN	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	clatter	VBD	NP	*t*	-NONE-	WHNP	that	WDT	NP	jennies	YES	spun	VBD	wool	NN	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	clatter	VBD	WHNP	that	WDT	NP	jenny	NNS	ADVP	once	YES	spun	VBD	wool	NN	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	WHNP	that	WDT	NP	jenny	NNS	ADVP	once	YES	spun	VBD	wool	NN	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	YES	spun	VBD	wool	NN	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	jenny	NNS	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	YES	spun	VBD	wool	NN	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	jenny	NNS	ADVP	once	RB	WHADVP	where	WRB	,	,	YES	spun	VBD	wool	NN	shift	''	reduce_binary	1	-9.294198074178478
VBD	spin	 	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	YES	wool	NN	into	IN	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 	VBD	spin	 	NP	jenny	NNS	ADVP	once	NO	wool	NN	into	IN	reduce_unary	ADVP	postulate_gap	1	-9.294198074178478
ADVP	 	 	VBD	spin	 	NP	jenny	NNS	ADVP	once	NO	wool	NN	into	IN	shift	''	reduce_unary	1	-9.294198074178478
NN	wool	 	ADVP	 	 	VBD	spin	 	NP	jennies	NO	into	IN	money	NN	reduce_unary	NP	shift	1	-9.294198074178478
NP	wool	NN	ADVP	 	 	VBD	spin	 	NP	jennies	NO	into	IN	money	NN	shift	''	reduce_unary	1	-9.294198074178478
IN	into	 	NP	wool	NN	ADVP	 	 	VBD	spun	NO	money	NN	for	IN	shift	''	shift	1	-9.294198074178478
NN	money	 	IN	into	 	NP	wool	NN	ADVP	 	NO	for	IN	the	DT	reduce_unary	NP	shift	1	-9.294198074178478
NP	money	NN	IN	into	 	NP	wool	NN	ADVP	 	NO	for	IN	the	DT	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	into	IN	IN	into	 	NP	wool	NN	ADVP	 	NO	for	IN	the	DT	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	into	IN	NP	wool	NN	ADVP	 	 	VBD	spun	NO	for	IN	the	DT	shift	''	reduce_binary	1	-9.294198074178478
IN	for	 	PP	into	IN	NP	wool	NN	ADVP	 	NO	the	DT	long-bearded	JJ	shift	''	shift	1	-9.294198074178478
DT	the	 	IN	for	 	PP	into	IN	NP	wool	NO	long-bearded	JJ	mill	NN	shift	''	shift	1	-9.294198074178478
JJ	long-bearded	 	DT	the	 	IN	for	 	PP	into	NO	mill	NN	owners	NNS	shift	''	shift	1	-9.294198074178478
NN	mill	 	JJ	long-bearded	 	DT	the	 	IN	for	NO	owners	NNS	.	.	shift	''	shift	1	-9.294198074178478
NNS	owner	 	NN	mill	 	JJ	long-bearded	 	DT	the	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	owner	NNS	NN	mill	 	JJ	long-bearded	 	DT	the	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	owner	NNS	JJ	long-bearded	 	DT	the	 	IN	for	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	owner	NNS	DT	the	 	IN	for	 	PP	into	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	owner	NNS	IN	for	 	PP	into	IN	NP	wool	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	for	IN	IN	for	 	PP	into	IN	NP	wool	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	for	IN	PP	into	IN	NP	wool	NN	ADVP	 	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	spin	VBD	PP	into	IN	NP	wool	NN	ADVP	 	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	spin	VBD	NP	wool	NN	ADVP	 	 	VBD	spun	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	spin	VBD	ADVP	 	 	VBD	spin	 	NP	jennies	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	spin	VBD	VBD	spin	 	NP	jenny	NNS	ADVP	once	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	spin	VBD	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	spin	VBD	NP	jenny	NNS	ADVP	once	RB	WHADVP	where	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	spin	VBD	ADVP	once	RB	WHADVP	where	WRB	,	,	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	spin	VBD	WHADVP	where	WRB	,	,	 	NP	city	NO	.	.	noword	NOPOS	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	where	WRB	WHADVP	where	WRB	,	,	 	NP	city	NO	.	.	noword	NOPOS	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	where	WRB	,	,	 	NP	city	NN	ADVP	 	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	find	VB	,	,	 	NP	city	NN	ADVP	 	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
