position,word,freq,function,item,activation
25,the,6961417.875,DT,3,6.461418845027831
26,residents,3899.25,NNS,3,-1.037388354358389
27,of,3309513.75,IN,3,5.717712269505563
28,bradford,1352.25,NNP,3,-2.104634769639082
29,",",3.375,",",3,-8.553019211179882
30,and,3018237.75,CC,3,5.625565196146023
31,if,266745.375,IN,3,3.19843721727396
32,you,782544.375,PRP,3,4.27528215619628
33,were,363186.0,VBD,3,3.507260646608495
34,to,2880389.25,TO,3,5.578807643890024
35,go,101859.75,VB,3,2.234862373691663
36,into,183903.75,IN,3,2.8262649157595674
37,the,6961417.875,DT,3,6.461418845027831
38,city,26152.875,NN,3,0.872983793509351
39,to,2880389.25,TO,3,5.578807643890024
40,visit,14243.625,VB,3,0.2637253150876503
41,the,6961417.875,DT,3,6.461418845027831
42,stately,430.875,JJ,3,-3.264641315727297
43,city,26152.875,NNP,3,0.872983793509351
44,hall,13665.375,NNP,3,0.22216125574634715
45,",",3.375,",",3,-8.553019211179882
46,you,782544.375,PRP,3,4.27528215619628
47,would,287097.75,MD,3,3.2720158482858137
48,see,133618.5,VB,3,2.5065463938447095
49,there,368964.0,RB,3,3.5230541502948856
50,the,6961417.875,DT,3,6.461418845027831
51,crest,652.5,NNP,3,-2.8423884068966423
52,of,3309513.75,IN,3,5.717712269505563
53,the,6961417.875,DT,3,6.461418845027831
54,city,26152.875,NNP,3,0.872983793509351
55,of,3309513.75,IN,3,5.717712269505563
56,bradford,1352.25,NNP,3,-2.104634769639082
57,",",3.375,",",3,-8.553019211179882
58,which,418538.25,WDT,3,3.64919649625762
59,those,99970.875,DT,3,2.2161221882523585
60,same,69085.125,JJ,3,1.846117476193006
61,mill,3934.125,NN,3,-1.0284157466252724
62,owners,4221.0,NNS,3,-0.9576132808491739
63,created,9876.375,VBD,3,-0.10366533248663548
64,to,2880389.25,TO,3,5.578807643890024
65,celebrate,1585.125,VB,3,-1.9441691824678005
66,their,293533.875,PRP$,3,3.2942009876799494
67,achievements,1702.125,NNS,3,-1.8723100224943012
68,.,24.75,.,3,-6.2500316988811715
1,it,1225753.875,PRP,4,4.724208657999368
2,shows,13122.0,VBZ,4,0.1814719492902176
3,a,2419745.625,DT,4,5.404505368361806
4,sinister,796.5,JJ,4,-2.640183825810008
5,looking,29967.75,JJ,4,1.0094479506771026
6,boar,441.0,NN,4,-3.239955389460757
7,'s,908220.375,POS,4,4.424277849605104
8,head,42644.25,NN,4,1.3629104425608911
9,sitting,10212.75,VBG,4,-0.07006973099477615
10,on,814721.625,IN,4,4.315594337402501
11,top,26704.125,NN,4,0.8939040259034675
12,of,3309513.75,IN,4,5.717712269505563
13,a,2419745.625,DT,4,5.404505368361806
14,well,132141.375,NN,4,2.4954193594567933
15,which,418538.25,WDT,4,3.64919649625762
16,seems,23843.25,VBZ,4,0.7803236733121574
17,puzzling,409.5,JJ,4,-3.316011082813907
18,at,537950.25,IN,4,3.900327488661853
19,first,133537.5,RB,4,2.505939399601613
20,",",3.375,",",4,-8.553019211179882
21,but,513081.0,CC,4,3.8529715218956166
22,the,6961417.875,DT,4,6.461418845027831
23,reason,20721.375,NN,4,0.6396406394945252
24,for,958188.375,IN,4,4.477855445776505
25,this,521145.0,DT,4,3.868574026404361
26,symbol,2017.125,NN,4,-1.701066493483977
27,is,1123725.375,VBZ,4,4.637272887394371
28,a,2419745.625,DT,4,5.404505368361806
29,matter,22765.5,NN,4,0.7339523094370684
30,of,3309513.75,IN,4,5.717712269505563
31,legend,1405.125,NN,4,-2.0658518566519617
32,.,24.75,.,4,-6.2500316988811715
1,there,368964.0,EX,5,3.5230541502948856
2,was,1039471.875,VBD,5,4.559308638799121
3,once,30994.875,RB,5,1.0432169028438467
4,",",3.375,",",5,-8.553019211179882
5,legend,1405.125,NN,5,-2.0658518566519617
6,has,291873.375,VBZ,5,3.288525019308653
7,it,1225753.875,PRP,5,4.724208657999368
8,",",3.375,",",5,-8.553019211179882
9,a,2419745.625,DT,5,5.404505368361806
10,fearsome,283.5,JJ,5,-3.6913204721911863
11,boar,441.0,NN,5,-3.239955389460757
12,",",3.375,",",5,-8.553019211179882
13,which,418538.25,WDT,5,3.64919649625762
14,lived,9257.625,VBD,5,-0.16861989820383472
15,in,2118706.875,IN,5,5.2716165665251795
16,a,2419745.625,DT,5,5.404505368361806
17,wood,8276.625,NN,5,-0.2810735593768017
18,located,2845.125,VBN,5,-1.354552724979872
19,just,145743.75,RB,5,2.593491816298788
20,outside,23771.25,IN,5,0.7772922082001035
21,the,6961417.875,DT,5,6.461418845027831
22,manor,2151.0,NN,5,-1.6362608682159692
23,of,3309513.75,IN,5,5.717712269505563
24,bradford,1352.25,NNP,5,-2.104634769639082
25,.,24.75,.,5,-6.2500316988811715
1,a,2419745.625,DT,6,5.404505368361806
2,source,10224.0,NN,6,-0.0689278094686323
3,of,3309513.75,IN,6,5.717712269505563
4,great,50869.125,JJ,6,1.539574373028718
5,trouble,10447.875,NN,6,-0.04723145341828227
6,to,2880389.25,TO,6,5.578807643890024
7,the,6961417.875,DT,6,6.461418845027831
8,local,52158.375,JJ,6,1.5646408740235922
9,folk,2392.875,NN,6,-1.5290661537200843
10,the,6961417.875,DT,6,6.461418845027831
11,boar,441.0,NN,6,-3.239955389460757
12,was,1039471.875,VBD,6,4.559308638799121
13,",",3.375,",",6,-8.553019211179882
14,bringing,5520.375,VBG,6,-0.6878616986437592
15,terror,1701.0,NN,6,-1.87293966620825
16,to,2880389.25,TO,6,5.578807643890024
17,the,6961417.875,DT,6,6.461418845027831
18,peaceful,1867.5,JJ,6,-1.778883077745823
19,flocks,461.25,NNS,6,-3.1945672855195566
20,and,3018237.75,CC,6,5.625565196146023
21,ravaging,39.375,VBG,6,-5.74297600304703
22,the,6961417.875,DT,6,6.461418845027831
23,countryside,4430.25,NN,6,-0.9089890586404081
24,around,50946.75,RP,6,1.5410955005676743
25,.,24.75,.,6,-6.2500316988811715
1,even,81086.625,RB,7,2.0065069559111364
2,worse,8141.625,RBR,7,-0.29758597778137563
3,",",3.375,",",7,-8.553019211179882
4,however,68060.25,RB,7,1.8311496024357596
5,",",3.375,",",7,-8.553019211179882
6,the,6961417.875,DT,7,6.461418845027831
7,boar,441.0,NN,7,-3.239955389460757
8,most,111103.875,RBS,7,2.3218280820352697
9,liked,6342.75,VBD,7,-0.5483608590587293
10,to,2880389.25,TO,7,5.578807643890024
11,go,101859.75,VB,7,2.234862373691663
12,to,2880389.25,TO,7,5.578807643890024
13,the,6961417.875,DT,7,6.461418845027831
14,well,132141.375,NN,7,2.4954193594567933
15,that,1254804.75,WDT,7,4.747640315532376
16,was,1039471.875,VBD,7,4.559308638799121
17,in,2118706.875,IN,7,5.2716165665251795
18,the,6961417.875,DT,7,6.461418845027831
19,wood,8276.625,NN,7,-0.2810735593768017
20,and,3018237.75,CC,7,5.625565196146023
21,drink,9067.5,VB,7,-0.1894437961130728
22,its,183494.25,PRP$,7,2.824035185842067
23,fresh,7661.25,JJ,7,-0.3586283362660969
24,water,39462.75,NN,7,1.2852287887147298
25,",",3.375,",",7,-8.553019211179882
26,so,238677.75,RB,7,3.0871752871511715
27,that,1254804.75,IN,7,4.747640315532376
28,the,6961417.875,DT,7,6.461418845027831
29,people,139677.75,NNS,7,2.5509386501991385
30,of,3309513.75,IN,7,5.717712269505563
31,bradford,1352.25,NNP,7,-2.104634769639082
32,had,501070.5,VBD,7,3.829271959244354
33,second,46635.75,JJ,7,1.4525350165355373
34,thoughts,5261.625,NNS,7,-0.7361321521214315
35,about,221755.5,IN,7,3.0135808560041815
36,visiting,3375.0,VBG,7,-1.1826208436573689
37,the,6961417.875,DT,7,6.461418845027831
38,well,132141.375,NN,7,2.4954193594567933
39,.,24.75,.,7,-6.2500316988811715
1,that,1254804.75,IN,8,4.747640315532376
2,the,6961417.875,DT,8,6.461418845027831
3,people,139677.75,NNS,8,2.5509386501991385
4,of,3309513.75,IN,8,5.717712269505563
5,bradford,1352.25,NNP,8,-2.104634769639082
6,bore,1726.875,VBD,8,-1.8579671655459364
7,the,6961417.875,DT,8,6.461418845027831
8,brunt,248.625,NN,8,-3.8259303140161123
9,of,3309513.75,IN,8,5.717712269505563
10,the,6961417.875,DT,8,6.461418845027831
11,beast,1024.875,NN,8,-2.385131814793435
12,'s,908220.375,POS,8,4.424277849605104
13,ferocity,239.625,NN,8,-3.863714852130246
14,was,1039471.875,VBD,8,4.559308638799121
15,unfair,2174.625,JJ,8,-1.6253976305529687
16,in,2118706.875,IN,8,5.2716165665251795
17,the,6961417.875,DT,8,6.461418845027831
18,eyes,33419.25,NNS,8,1.118690841977081
19,of,3309513.75,IN,8,5.717712269505563
20,the,6961417.875,DT,8,6.461418845027831
21,people,139677.75,NNS,8,2.5509386501991385
22,of,3309513.75,IN,8,5.717712269505563
23,the,6961417.875,DT,8,6.461418845027831
24,region,11135.25,NN,8,0.01674065225926988
25,.,24.75,.,8,-6.2500316988811715
1,eventually,10280.25,RB,9,-0.06343358339230618
2,",",3.375,",",9,-8.553019211179882
3,the,6961417.875,DT,9,6.461418845027831
4,issue,18511.875,NN,9,0.5265783395006092
5,reached,13964.625,VBD,9,0.243881943489461
6,the,6961417.875,DT,9,6.461418845027831
7,ears,3397.5,NNS,9,-1.1760090951181568
8,of,3309513.75,IN,9,5.717712269505563
9,the,6961417.875,DT,9,6.461418845027831
10,kindly,1445.625,JJ,9,-2.0373363063300567
11,lord,18528.75,NN,9,0.5274953595511439
12,of,3309513.75,IN,9,5.717712269505563
13,the,6961417.875,DT,9,6.461418845027831
14,manor,2151.0,NNP,9,-1.6362608682159692
15,who,232455.375,WP,9,3.0607401348152368
16,the,6961417.875,DT,9,6.461418845027831
17,people,139677.75,NNS,9,2.5509386501991385
18,had,501070.5,VBD,9,3.829271959244354
19,often,42347.25,RB,9,1.3559090788980532
20,asked,37597.5,VBN,9,1.2367219285735436
21,for,958188.375,IN,9,4.477855445776505
22,help,42723.0,NN,9,1.3647616155056608
23,.,24.75,.,9,-6.2500316988811715
1,the,6961417.875,DT,10,6.461418845027831
2,lord,18528.75,NNP,10,0.5274953595511439
3,saw,30079.125,VBD,10,1.0131758548051946
4,the,6961417.875,DT,10,6.461418845027831
5,severity,822.375,NN,10,-2.6077154006996865
6,of,3309513.75,IN,10,5.717712269505563
7,the,6961417.875,DT,10,6.461418845027831
8,problem,32617.125,NN,10,1.0943492227294929
9,the,6961417.875,DT,10,6.461418845027831
10,people,139677.75,NNS,10,2.5509386501991385
11,faced,5135.625,VBD,10,-0.7604948056153654
12,and,3018237.75,CC,10,5.625565196146023
13,suggested,12492.0,VBD,10,0.13211136008882787
14,a,2419745.625,DT,10,5.404505368361806
15,contest,1924.875,NN,10,-1.748463701387108
16,could,189441.0,MD,10,2.8559571371454693
17,solve,2176.875,VB,10,-1.624413592532167
18,the,6961417.875,DT,10,6.461418845027831
19,problem,32617.125,NN,10,1.0943492227294929
20,.,24.75,.,10,-6.2500316988811715
1,he,766551.375,PRP,11,4.2546246760537185
2,said,235725.75,VBD,11,3.0747206745438733
3,that,1254804.75,IN,11,4.747640315532376
4,whoever,1659.375,WP,11,-1.8980508821343998
5,could,189441.0,MD,11,2.8559571371454693
6,kill,5332.5,VB,11,-0.7226720957249954
7,the,6961417.875,DT,11,6.461418845027831
8,boar,441.0,NN,11,-3.239955389460757
9,and,3018237.75,CC,11,5.625565196146023
10,bring,17386.875,VB,11,0.4637090344670608
11,as,582511.5,IN,11,3.9799489740033183
12,proof,3042.0,NN,11,-1.287171538134628
13,its,183494.25,PRP$,11,2.824035185842067
14,head,42644.25,NN,11,1.3629104425608911
15,to,2880389.25,TO,11,5.578807643890024
16,the,6961417.875,DT,11,6.461418845027831
17,manor,2151.0,NNP,11,-1.6362608682159692
18,house,57291.75,NNP,11,1.6586564092491989
19,would,287097.75,MD,11,3.2720158482858137
20,be,747877.5,VB,11,4.229951711019649
21,rewarded,1058.625,VBN,11,-2.352229712151435
22,with,733556.25,IN,11,4.210608759730691
23,land,24000.75,NN,11,0.7869127094009476
24,and,3018237.75,CC,11,5.625565196146023
25,fame,1361.25,NN,11,-2.0979347964408515
26,.,24.75,.,11,-6.2500316988811715
1,it,1225753.875,PRP,12,4.724208657999368
2,was,1039471.875,VBD,12,4.559308638799121
3,the,6961417.875,DT,12,6.461418845027831
4,people,139677.75,NNS,12,2.5509386501991385
5,of,3309513.75,IN,12,5.717712269505563
6,bradford,1352.25,NNP,12,-2.104634769639082
7,and,3018237.75,CC,12,5.625565196146023
8,the,6961417.875,DT,12,6.461418845027831
9,people,139677.75,NNS,12,2.5509386501991385
10,who,232455.375,WP,12,3.0607401348152368
11,knew,29342.25,VBD,12,0.9883181600865965
12,them,195095.25,PRP,12,2.8853912573285805
13,who,232455.375,WP,12,3.0607401348152368
14,rejoiced,126.0,VBD,12,-4.523059185923679
15,at,537950.25,IN,12,3.900327488661853
16,this,521145.0,DT,12,3.868574026404361
17,proclamation,240.75,NN,12,-3.8591865421929694
18,but,513081.0,CC,12,3.8529715218956166
19,one,327827.25,CD,12,3.404768284874383
20,question,29496.375,NN,12,0.993566126242944
21,remained,10239.75,VBD,12,-0.0674198313951238
22,:,2.25,:,12,-9.04708014989069
23,who,232455.375,WP,12,3.0607401348152368
24,would,287097.75,MD,12,3.2720158482858137
25,kill,5332.5,VB,12,-0.7226720957249954
26,the,6961417.875,DT,12,6.461418845027831
27,boar,441.0,NN,12,-3.239955389460757
28,?,1.125,.,12,-9.928453736910233
1,by,577212.75,IN,13,3.9708063601786745
2,the,6961417.875,DT,13,6.461418845027831
3,handsome,1893.375,JJ,13,-1.7649713567909824
4,reward,2226.375,NN,13,-1.6016355105667657
5,many,100867.5,DT,13,2.2250632597369115
6,felt,31545.0,VBD,13,1.0608606392075886
7,tempted,1362.375,VBN,13,-2.0971472268723383
8,",",3.375,",",13,-8.553019211179882
9,but,513081.0,CC,13,3.8529715218956166
10,the,6961417.875,DT,13,6.461418845027831
11,thought,63993.375,NN,13,1.7694471444811157
12,of,3309513.75,IN,13,5.717712269505563
13,the,6961417.875,DT,13,6.461418845027831
14,boar,441.0,NN,13,-3.239955389460757
15,with,733556.25,IN,13,4.210608759730691
16,its,183494.25,PRP$,13,2.824035185842067
17,deadly,939.375,JJ,13,-2.4730271993896165
18,tusks,130.5,NNS,13,-4.488876372586086
19,and,3018237.75,CC,13,5.625565196146023
20,face,39350.25,NN,13,1.2823750255004185
21,like,173077.875,IN,13,2.7655410923991384
22,thunder,898.875,NN,13,-2.5179238688666343
23,soon,17893.125,RB,13,0.4925106997026604
24,put,67089.375,VBD,13,1.816760802512049
25,an,387051.75,DT,13,3.5709409332100446
26,end,55858.5,NN,13,1.63328466211274
27,to,2880389.25,TO,13,5.578807643890024
28,their,293533.875,PRP$,13,3.2942009876799494
29,ambitions,1131.75,NNS,13,-2.284734265047065
30,.,24.75,.,13,-6.2500316988811715
1,however,68060.25,RB,14,1.8311496024357596
2,",",3.375,",",14,-8.553019211179882
3,there,368964.0,EX,14,3.5230541502948856
4,was,1039471.875,VBD,14,4.559308638799121
5,one,327827.25,CD,14,3.404768284874383
6,huntsman,55.125,NN,14,-5.3843558504518905
7,",",3.375,",",14,-8.553019211179882
8,who,232455.375,WP,14,3.0607401348152368
9,was,1039471.875,VBD,14,4.559308638799121
10,still,84119.625,RB,14,2.043275619588471
11,wet,4471.875,JJ,14,-0.8996564695099446
12,behind,26660.25,IN,14,0.8922536351915392
13,the,6961417.875,DT,14,6.461418845027831
14,ears,3397.5,NNS,14,-1.1760090951181568
15,",",3.375,",",14,-8.553019211179882
16,who,232455.375,WP,14,3.0607401348152368
17,decided,17058.375,VBD,14,0.44459587528582184
18,the,6961417.875,DT,14,6.461418845027831
19,prize,3582.0,NN,14,-1.1227260326511221
20,was,1039471.875,VBD,14,4.559308638799121
21,worth,13921.875,JJ,14,0.24079735422853177
22,a,2419745.625,DT,14,5.404505368361806
23,shot,9221.625,NN,14,-0.17253110367925525
24,",",3.375,",",14,-8.553019211179882
25,in,2118706.875,IN,14,5.2716165665251795
26,spite,252.0,NN,14,-3.8108182739768437
27,of,3309513.75,IN,14,5.717712269505563
28,the,6961417.875,DT,14,6.461418845027831
29,boar,441.0,NN,14,-3.239955389460757
30,'s,908220.375,POS,14,4.424277849605104
31,reputation,4190.625,NN,14,-0.9649515628123924
32,.,24.75,.,14,-6.2500316988811715
1,the,6961417.875,DT,15,6.461418845027831
2,huntsman,55.125,NN,15,-5.3843558504518905
3,discovered,7202.25,VBD,15,-0.420672916038742
4,the,6961417.875,DT,15,6.461418845027831
5,boar,441.0,NN,15,-3.239955389460757
6,preferred,3550.5,VBD,15,-1.131684216873936
7,to,2880389.25,TO,15,5.578807643890024
8,come,78215.625,VB,15,1.9704115774999404
9,out,174771.0,RP,15,2.775287055591765
10,in,2118706.875,IN,15,5.2716165665251795
11,the,6961417.875,DT,15,6.461418845027831
12,middle,14539.5,NN,15,0.28435232969488167
13,of,3309513.75,IN,15,5.717712269505563
14,the,6961417.875,DT,15,6.461418845027831
15,day,70038.0,NN,15,1.8598358610064298
16,.,24.75,.,15,-6.2500316988811715
1,so,238677.75,IN,16,3.0871752871511715
2,he,766551.375,PRP,16,4.2546246760537185
3,went,54380.25,VBD,16,1.6064244571373367
4,to,2880389.25,TO,16,5.578807643890024
5,the,6961417.875,DT,16,6.461418845027831
6,wood,8276.625,NN,16,-0.2810735593768017
7,by,577212.75,IN,16,3.9708063601786745
8,the,6961417.875,DT,16,6.461418845027831
9,well,132141.375,NN,16,2.4954193594567933
10,with,733556.25,IN,16,4.210608759730691
11,his,487798.875,PRP$,16,3.80241399149176
12,good,90894.375,JJ,16,2.1208311545580196
13,bow,1654.875,NN,16,-1.9009449659974766
14,",",3.375,",",16,-8.553019211179882
15,to,2880389.25,TO,16,5.578807643890024
16,bide,66.375,VB,16,-5.191739673902672
17,his,487798.875,PRP$,16,3.80241399149176
18,time,174353.625,NN,16,2.7728921894510044
19,.,24.75,.,16,-6.2500316988811715
1,around,50946.75,IN,17,1.5410955005676743
2,noontime,3.375,NN,17,-8.553019211179882
3,",",3.375,",",17,-8.553019211179882
4,the,6961417.875,DT,17,6.461418845027831
5,boar,441.0,NN,17,-3.239955389460757
6,",",3.375,",",17,-8.553019211179882
7,feared,2212.875,VBN,17,-1.607880099330095
8,by,577212.75,IN,17,3.9708063601786745
9,the,6961417.875,DT,17,6.461418845027831
10,locals,925.875,NNS,17,-2.4879557035111444
11,",",3.375,",",17,-8.553019211179882
12,came,53068.5,VBD,17,1.5819660630710055
13,out,174771.0,RP,17,2.775287055591765
14,",",3.375,",",17,-8.553019211179882
15,as,582511.5,RB,17,3.9799489740033183
16,slow,6631.875,JJ,17,-0.5035904284024548
17,as,582511.5,IN,17,3.9799489740033183
18,a,2419745.625,DT,17,5.404505368361806
19,snail,330.75,NN,17,-3.5342066266493557
20,",",3.375,",",17,-8.553019211179882
21,from,465226.875,IN,17,3.755010894996567
22,among,25722.0,IN,17,0.8563504575635243
23,the,6961417.875,DT,17,6.461418845027831
24,trees,9384.75,NNS,17,-0.1549360534724721
25,",",3.375,",",17,-8.553019211179882
26,just,145743.75,RB,17,2.593491816298788
27,as,582511.5,IN,17,3.9799489740033183
28,the,6961417.875,DT,17,6.461418845027831
29,huntsman,55.125,NN,17,-5.3843558504518905
30,had,501070.5,VBD,17,3.829271959244354
31,predicted,2062.125,VBN,17,-1.6788234977610057
32,.,24.75,.,17,-6.2500316988811715
1,the,6961417.875,DT,18,6.461418845027831
2,huntsman,55.125,NN,18,-5.3843558504518905
3,leaped,240.75,VBD,18,-3.8591865421929694
4,from,465226.875,IN,18,3.755010894996567
5,his,487798.875,PRP$,18,3.80241399149176
6,hiding,1572.75,NN,18,-1.9522815894181347
7,place,54732.375,NN,18,1.6128877796048247
8,and,3018237.75,CC,18,5.625565196146023
9,through,94585.5,IN,18,2.160684376304592
10,the,6961417.875,DT,18,6.461418845027831
11,heart,15448.5,NN,18,0.3451770996788355
12,with,733556.25,IN,18,4.210608759730691
13,his,487798.875,PRP$,18,3.80241399149176
14,fine,14884.875,JJ,18,0.30788726414404527
15,arrows,670.5,NNS,18,-2.8147782550037332
16,shot,9221.625,VBD,18,-0.17253110367925525
17,the,6961417.875,DT,18,6.461418845027831
18,boar,441.0,NN,18,-3.239955389460757
19,.,24.75,.,18,-6.2500316988811715
1,now,155040.75,RB,19,2.65538825278232
2,the,6961417.875,DT,19,6.461418845027831
3,problem,32617.125,NN,19,1.0943492227294929
4,was,1039471.875,VBD,19,4.559308638799121
5,no,236185.875,RB,19,3.0766719263474687
6,longer,8118.0,RB,19,-0.3004650278395528
7,to,2880389.25,TO,19,5.578807643890024
8,kill,5332.5,VB,19,-0.7226720957249954
9,the,6961417.875,DT,19,6.461418845027831
10,boar,441.0,NN,19,-3.239955389460757
11,.,24.75,.,19,-6.2500316988811715
1,it,1225753.875,PRP,20,4.724208657999368
2,was,1039471.875,VBD,20,4.559308638799121
3,to,2880389.25,TO,20,5.578807643890024
4,find,47589.75,VB,20,1.4728192347779459
5,a,2419745.625,DT,20,5.404505368361806
6,way,108315.0,NN,20,2.2963820763004303
7,to,2880389.25,TO,20,5.578807643890024
8,carry,11378.25,VB,20,0.038403098631317675
9,the,6961417.875,DT,20,6.461418845027831
10,boar,441.0,NN,20,-3.239955389460757
11,back,115117.875,RB,20,2.3573577842972915
12,.,24.75,.,20,-6.2500316988811715
1,the,6961417.875,DT,21,6.461418845027831
2,head,42644.25,NN,21,1.3629104425608911
3,was,1039471.875,VBD,21,4.559308638799121
4,too,78940.125,RB,21,1.9796470179575716
5,heavy,10669.5,JJ,21,-0.026147666881666764
6,for,958188.375,IN,21,4.477855445776505
7,the,6961417.875,DT,21,6.461418845027831
8,little,54113.625,JJ,21,1.6014982301650047
9,huntsman,55.125,NN,21,-5.3843558504518905
10,to,2880389.25,TO,21,5.578807643890024
11,carry,11378.25,VB,21,0.038403098631317675
12,back,115117.875,RP,21,2.3573577842972915
13,to,2880389.25,TO,21,5.578807643890024
14,the,6961417.875,DT,21,6.461418845027831
15,manor,2151.0,NNP,21,-1.6362608682159692
16,house,57291.75,NNP,21,1.6586564092491989
17,",",3.375,",",21,-8.553019211179882
18,but,513081.0,CC,21,3.8529715218956166
19,the,6961417.875,DT,21,6.461418845027831
20,huntsman,55.125,NN,21,-5.3843558504518905
21,",",3.375,",",21,-8.553019211179882
22,who,232455.375,WP,21,3.0607401348152368
23,was,1039471.875,VBD,21,4.559308638799121
24,as,582511.5,RB,21,3.9799489740033183
25,quick-witted,41.625,JJ,21,-5.68729394411354
26,and,3018237.75,CC,21,5.625565196146023
27,cunning,534.375,JJ,21,-3.0450758307775874
28,as,582511.5,IN,21,3.9799489740033183
29,ever,29142.0,RB,21,0.9814597898180812
30,",",3.375,",",21,-8.553019211179882
31,asked,37597.5,VBD,21,1.2367219285735436
32,himself,34967.25,PRP,21,1.1640602702362055
33,",",3.375,",",21,-8.553019211179882
34,``,1.125,``,21,-9.928453736910233
35,what,280666.125,WP,21,3.249344451920133
36,else,23538.375,RB,21,0.7674213124840966
37,can,265861.125,MD,21,3.1951148707012313
38,i,1018488.375,PRP,21,4.538908306568984
39,do,315789.75,VB,21,3.3673332482209077
40,to,2880389.25,TO,21,5.578807643890024
41,prove,6468.75,VB,21,-0.5285994510519229
42,i,1018488.375,PRP,21,4.538908306568984
43,killed,9994.5,VBD,21,-0.09173843796353662
44,the,6961417.875,DT,21,6.461418845027831
45,boar,441.0,NN,21,-3.239955389460757
46,?,1.125,.,21,-9.928453736910233
47,'',38.25,'',21,-5.771988235240828
1,the,6961417.875,DT,22,6.461418845027831
2,next,48538.125,JJ,22,1.49259088613506
